FullDescription,SalaryLevel
role title product manager location luton based international travel required salary k opportunity join global force renewable energy market proven record product management opportunity spear head company new innovative product well part development future product role include travel europe well occasional travel eastern asia united state role product manager develop manage product strategy client new product lead sale professional upskil coach product knowledge portfolio management management performance aid development new product line market requirement lead future sale launch study market trend look competitor analysis define clear road map product development degree educated typical subject may include product marketing product design business study english speaking good communication skill written verbal background electronics would advantageous right candidate role please contact oliver lambert jam recruitment acting employment agency regard position visa required applicant must eligible work specified location job start date asap,high
research challenge doctorate research deliver new cae technique simulating behaviour large metallic body closure panel subjected concentrated quasi static loading commonly referred dentability oil type failure business driver issue highlighted business priority jlr body structure group complete understanding analysis issue fully optimise panel gauge material distribution leading class leading panel mass addition poor performance lead significant quality issue field turn may lead expensive palliative fix incorporated design incurring significant unplanned cost business background jaguar land rover design product virtually using advanced cae toolsets world goal fully virtual development vehicle order achieve goal significant resource allocated develop virtual capability business prioritised area prediction performance automotive structural panel oil canning dentability load case one area engd position offered research characterise underlying physic issue create cae method successful prediction potential failure mode failure mode large sheet elastic snap elastic limit material fully described current academic theory adequately covered current finite element package issue need addressed new cae capability developed predict failure mode qualification competency required minimum honour degree equivalent mechanical material engineering subject good analytical research skill excellent communication relationship building skill highly motivated great enthusiasm subject selfmotivated capable working minimal guidance supervision within team award available award available funding detail fee rcuk level stipend approximately tax free eligibility open uk eu applicant application detail please view following page full detail award http www warwick ac uk fac sci wmg education researchdegrees idc applicant asked contact j kirkwoodwarwick ac uk submitting application deadline th february,low
national building contractor seek experienced e manager augment existing team new role based continued sustained expansion various contract award current project include refurbishment new build value commercial retail sector reporting construction director interface site relevant project manager overseeing e subcontractor involved project ensuring compliance effective delivery right candidate strong e background mechanical bias ideally worked similar role main building contractor alternatively experience within national e contractor contract manager level proven experience managing multiple contract contract scotland committed equal opportunity diversity employee temporary worker work seeker individual assessed individual merit suitability position irrespective race gender disability age faith sexual orientation job originally posted www totaljobs com jobseeking memanager job,high
working busy factory environment successful candidate require work trained working rotating shift,low
internal auditor position leading london based top accountancy practice practice small team experienced internal auditor working across operational financial internal audit role diverse one operating across multiple sector specialism role work current client also assist developing client base successful applicant internal auditor post worked within practice industry experience audit whether external internal expected accountancy audit qualification expected great opportunity join respected specialist team within growing practice firm welcoming working environment whilst also getting work range business variety sector,high
remit take full responsibility execution resourcing element strategic people plan ensure organisation subsidiary positioned employer choice chosen market territory principle accountability key member hr leadership team develop implement fully detailed resourcing strategy focus key performance metric delivers bottom line financial improvement conjunction group hr director develop employer branding positioning strategy territory drive candidate attraction increase brand awareness support local business transformation plan development recruitment resourcing solution ensures business model optimisation augment implement group mobility policy support strategic resourcing plan international resource deployment plan guide development international assignment support process procedure implement crossorder third party supplier advisor network work hr leadership team develop seamless onboarding induction procedure drive speed proficiency metric reduce short service voluntary attrition work local hr recruitment team implement robust recruitment model creates streamlined professional sourcing selection process across group territory augmentation direct indirect sourcing channel including social medium development third party partnership relationship definition implementation scaleable selection procedure development assessment profiling tool technique job family level work head l implement group wide initiative line strategic people plan ensure consistent application organisation capability framework promote internal resourcing career development develop trainee graduate programme provide talent pipeline five year horizon augment current management community capability devise develop implement talent pipeline senior management position implement external reward benchmarking procedure solution provide useable relevant employment market data support budgeting wage bill planning person specification extensive knowledge expertise theory development implementation corporate resourcing strategy strong tactical resourcing recruitment experience multiterritory organisation specific exposure western europe middle east territory detailed knowledge direct sourcing attraction strategy previous exposure knowledge bluecollar industry workforce dynamic previous knowledge experience working matrix environment direct control resource available experience profiling assessment tool preferably existing transferable licence use shl similar ability capture analyse data performance metric carry root cause analysis suboptimal performance strong competence influencing credibility ability outline ability coach mentor local resourcing recruitment team member matrix environment preferable language skill french german ability travel domestically internationally please include current salary detail basic bonus plus benefit applying job originally posted www totaljobs com jobseeking headofresourcingandrecruitment job,high
itil desktop architecture window mac active directory solution upgrade rollout application package manager client european recognised well established company seeking experienced software application packager join permanent basis wiltshire client looking handson application packager join successful growing team responsibility analyze client current software package identify area change identified independence create detailed roadmap present key internal stake holder order bid change identified agreed board level responsible handson deployment software upgrade circa user globally time high volume deployment may required employ temporary member staff assist upgrade role grows organically find self position team leader number direct report responsible rolling global software upgrade believe skill experience would like know please apply directly call discus opportunity reed specialist recruitment limited employment agency employment business,high
pension consultant leading financial service company take client facing role increasing responsibility client service working challenging project highprofile client opportunity specialise workstream choice successful candidate experience contributing delivery defined benefit pension workstreams project consulting inhouse environment take opportunity work extensive client base corporate trustee providing innovative solution pension issue please contact u discus vacancy informal discussion regarding career goal happy perform bespoke research behalf louis manson e louis mansonstaractuarial com antony buxton fia e antony buxtonstaractuarial com,high
lead generation executive recruitment advertising salary k plus competitive commission structure based norwich free parking available excited announce lead generation executive position become available norwich office lead generation executive lead range outbound list generation activity executive responsible uncovering qualifying developing potential sale opportunity passed direct sale team developing environment sale marketing specialist communicates via phone email company hr professional business need requirement relation hr strategy plan manage run organisation job duty responsibility generate new business opportunity fuel sale pipeline respond qualify lead conduct high level conversation senior hr professional prospect account achieve monthly target requirement year related lead generation experience must self starter proven track record excellent communicative strategic selling skill must outbound businesstobusiness phone marketing sale experience basic computer skill microsoft outlook window application well required great verbal written communication skill tenacious willing place hundred call per week ability navigate corporate structure identify decision maker determine buying process ability assertive persuasive without aggressive active listening skill ability learn quickly think quickly ability research nurture potential opportunity selfmotivated entrepreneurial spirit update sale lead activity contact information desirable skill knowledge candidate knowledge following area hold distinct advantage experience website content management system cm experience web design technology knowledge online marketing technique search engine optimisation seo pay per click campaign ppc email marketing campaign social network campaign let great opportunity work dynamic energetic group individual pas apply role please forward cv,low
conveyancer harrogate basic salary currently looking recruit experienced conveyancer work firm solicitor based harrogate essential previous current conveyancing experience experienced either freehold leasehold opportunity come good overall package working environment considered opportunity please forward date cv able provide full job description detailed information client interview arranged immediately key word conveyancing freehold leasehold job originally posted www totaljobs com jobseeking conveyancersharrogate job,low
currently following vacancy senior lecturer interior architecture design school creative art pa looking interior architect designer join academic design group teach undergraduate potentially postgraduate course making contribution research commercial project experience teaching level advanced knowledge cad package technical building specification regulation material contemporary practice bring skill knowledge business context enthusiasm teaching research within school helping develop excellence course subject area external network please contact shaun borstrock conversation post borstrockherts ac uk current ukba regulation university unlikely able get work permit respect post therefore accept application people right work uk least one year date appointment closing date january ref g university offer range benefit including final salary pension scheme professional development family friendly policy child care voucher waiving course fee child staff uh discounted membership hertfordshire sport village generous annual leave apply please visit website via button celebrating sixty year award award winner entrepreneurial university year uh university hertfordshire positive disabled people,low
policy information officer politics exp needed walthamstow ref support development relationship key agency government department think tank ensure client forefront public policy making,low
deputy manager currently recruiting deputy manager position number key client across uk many registered vacancy u u alone choosing cherryred consultancy choice deputy manager want develop career well known expanding group deputy manager would prefer work independent business excellent local reputation want raise profile deputy manager want work company dedicate time training developing career experienced deputy manager ready change answered yes question would love hear please apply one consultant call shortly confidentially discus career goal cherryred true specialist consultancy business specialises hospitality catering managerial role front back house believe advice given sense pride advice specific individual majority describe cherryred one sentence focused professional driven exciting funky cool passionate job originally posted www caterer com jobseeking deputymanagersnottingham job,low
payroller manager required blue chip organisation based manchester city centre client excellent opportunity payroll manager looking challenging role responsible recruiting new team dealing new system implementation client looking experienced payroller run end end payroll inputting sending bacs third party report ideally oracle sap experience successful candidate must knowledge different pension scheme deducted payroll paid fund administrator understanding flexible benefit either payroll p d essential client grown year year reached point department expanded much internal restructures necessary giving excellent internal opportunity progress working within fast paced environment busy city centre office applicant suitable amount uk based experience legal right work within uk considered job originally posted www totaljobs com jobseeking payroller job,low
commercial insurance consultant leicester exciting opportunity arisen experience commercial insurance consultant join team expanding insurance brokerage dealing sme commercial combined insurance risk role key role within business working part team account executive develop build profitable portfolio commercial insurance manage book renewal predominantly sme client paying premium responsible rebroking existing client policy also selling additional cover meet client requirement company client expanding commercial personal line broker part one largest broker group uk benefit salary plus range flexible benefit person application considered must recent experience within commercial insurance sale role account handling role knowledge general commercial insurance required successful candidate excellent communication skill ability make decision including desire succeed grow book business insurance qualification would advantageous please visit www idexconsulting com opportunity foot note application successful contact discus opportunity detail within hour receiving application application unsuccessful information supplied may still retained use connection future vacancy due overwhelming application response receive various source hear u within one week please assume application unsuccessful job originally posted www totaljobs com jobseeking commercialinsuranceaccounthandler job,low
propel market leading digital technology recruiter uk currently team consultant work medium technology creative client side employment opportunity currently looking hire bright ambitious graduate keen explore career recruitment role junior consultant requires individual commercial sale hungry natural communicator strong ability research absorb present information looking graduate solid degree good undertanding digital marketing good work ethic strong ambition succeed rewarded accordingly employee fun loving enjoy working competiting self motivation tenacity key trait successfull consultant interested exploring opportunites detail please contact emma mcnamara n emma n,low
client currently recruiting paraplanner join team manchester city centre successful candidate play key role helping hnw advisor state art financial planning conducting research preparing high quality suitability letter expected assist preparation financial review existing client attending client meeting providing paraplanner support investment portfolio private trust pension life cover also need highly polished professional strong technical skill confident communicator level company offer competitive salary information please contact graeme hyland idex recruitment email graeme hylandidexconsulting com please visit www idexconsulting com opportunity foot note application successful contact discus opportunity detail within hour receiving application application unsuccessful information supplied may still retained use connection future vacancy due overwhelming application response receive various source hear u within one week please assume application unsuccessful job originally posted www totaljobs com jobseeking paraplannermanchester job,low
client currently looking strengthen senior commercial team specialise high performance environmental analysis product meter testing kit solution lab service operating global scale exceptional market reputation continue attain growth sale manager key responsibility overall business development sale etc role require strong link marketing engineering team introduction new heavy metal analysis technology important clear understanding market place pricing competition would responsibility identification pursuit commercialisation immediate profitable sale opportunity driving generation negotiated year sale plan ensuring developed periodically reviewed developing clear marketing business development plan heavy metal analysis product stream capability product conjunction marketing engineering understanding key competitor strategic activity sale management right leadership attribute part senior management team posse right experience key skill experience experienced sale marketing business management able demonstrate career success date ideally chemistry qualification technical experience environmental test solution excellent microsoft word powerpoint excel outlook skill preferably essential able speak least one foreign language spanish willing travel internationally required ready take challenging new position high reward established organisation please forward cv covering letter stating relevance opportunity,high
c asp net developer needed join rapidly expanding company godalming k per annum benefit c asp net developer fantastic opportunity work varied role leading european technology company two day look opportunity work greenfield c asp net development company cutting edge internet business offer great salary benefit fantastic growth opportunity well chance use latest technology key duty innovating maintaining managing online platform currently handle huge amount soap based api command c asp net development integrating new top level domain integrating engineering platform support high volume interaction partner working m sql architect intelligent scalable database delivering engineering version proof concept browser based implementation solution assist frontend developer key skill good experience c asp net vb net programming m sql server frontend cs html javascript understanding agile scrum methodology attention detail clean precise code immaculate communication c asp net developer paying k per annum benefit apply position candidate must eligible live work uk matchtech acting employment business relation vacancy,high
currently looking dutch speaking business development representative would required provide excellent telephone support service customer developing professional reliable relationship whilst maximising sale opportunity main duty would contact customer regular basis make welcome call new customer promote sell company promotion maintain accurate information computer system maximise sale opportunity work department target deal customer complaint ideal candidate job would experience customer focused role excellent communication skill previous experience telephone sale experience dealing difficult customer experience working fast paced environment fluent dutch feel would ideal job please call kelly straight away alternatively apply via website job originally posted www totaljobs com jobseeking dutchspeakingbusinessdevelopmentrepresentative job,low
sap functional testing consultant specialist sap service provider recognised leader field looking sap tester need minimum month year sap experience module essential good exposure testing ideally testing background minimum two year testing exclusively core sap testing role receive training certification etc however must serious working exclusively sap testing environment beneficial certified however essential depending experience salary level follows k late k plus car allowance paplus healthcare inc partner pension holiday etc culturally quite flat generally hand employee need flexible adaptive open idea creative company work great sap tester working great learning environment work company training development second none work many well know bluechip large organisation well respected sap partner plus cross industry e gain exposure lot industry job originally posted www cwjobs co uk jobseeking sapfunctionaltestingconsultant job,low
senior sap srm mm consultant consultancy benefit reviewing profile established uk based client recruiting sap srm mm consultant strengthen exciting expanding company candidate required extensive sap srm mm implementation experience involved least full sap srm mm project life cycle extensive hand experience srm skill required year sap experience minimum full sap srm mm project life cycle mm procurement inventory management strong client facing consultancy experience language skill project experience outside uk preferable rare opportunity offering sap srm mm consultant substantial career progression well stability generous salary challenge required skill please hesitate contact mark kozminski lawrence harvey click contact recruiter lawrence harvey acting employment agency regard position,high
maintenance technician west yorkshire k double day shift automotive manufacturing giant pension scheme health insurance life assurance fantastic career opportunity superb manufacturing environment market leading organisation looking recruit multi skilled maintenance engineer join world class manufacturer automotive industry multitalented individual responsible completion maintenance service request assigned ability schedule complete preventative maintenance task responsibility electrical mechanical maintenance manufacturing equipment reduce potential downtime equipment increase productivity proactive approach manufacturing process liaise different area department frequent basis discus project issue etc build maintain history equipment promote continuous improvement time forward thinking requirement essential recognised engineering apprenticeship manufacturing production maintenance experience electrical fault finding skill good technical knowledge manufacturing process desirable plc experience fault finding programming ac dc servo drive experience robot experience conversant use machine tool salary benefit doe inc shift allowance double day shift pattern pension life assurance health insurance key skill job title multiskilled maintenance engineer maintenance engineer electrical engineer maintenance technician multiskilled technician process technician manufacturing engineer location west yorkshire interested role want speak u opportunity please apply first instance prime time recruitment ltd leading national recruitment consultancy network branch across uk established decade grown fledging company branch marketleading consultancy branch location nationwide supply permanent temporary staff area business covering variety different industry sector please aware receiving unprecedented amount advert response therefore reply within working day would kindly ask assume application unsuccessful however cv entered live database contact immediately feel something interest future respect role prime time recruitment limited operates employment agency defined employment agency act,low
role based client site sutton coldfield would suit internal candidate wishing development ideally someonewith strong account management background able utilise knowledge full marketing solution proposition client facing role excellent written verbal communication skill required together ability manage client expectation addition successful candidate posse experience managing small team previous external client facing experience excellent print knowledge broad understanding progressive marketing solution excellent attention detail ability multi task simultaneously manage multiple job flexible robust attitude able work deadline good numeracy commercial awareness good m office skill ability effectively manage client expectation please supply cv word rather pdf cv reviewed consultant handling assignment within hour time apply hear back within day mean occasion experience skill set match client looking would love go back every applicant explain good match however unfortunately today market even day operating introduced year ago administratively impossible please rest assured match criterion contacted usually within day later day time application,low
duty description client well established company based bournemouth friendly working environment offer full training organise manage workload team ensuring team individual target met continuous coaching motivation team setting individual team target preparation daily weekly operational briefing preparation annual holiday planning preparation monthly coaching plan monthly one one session team member reviewing performance target ensure team member requisite skill flagging training development need identifying appropriate option development training development plan place team member agree business plan activity undertaken measure sign build day day working relationship affinity partner underwriter gain understanding affinity objective cascade team identify key day day contact within affinity provide client feedback provide opportunity client visit operation clear plan activity reviewed quarterly review meeting life underwriter effective written communication required affinity partner effective line management team member performance management monthly review daily weekly coaching assessment manage performance related objective attendance punctuality call quality compliance customer journey lead example demonstrating positive enthusiastic attitude understanding client requirement ensure personal team target achieved competent working varying system platform support business coach team deliver deliver business plan team agree personal objective development opportunity accurate reporting achievement agreed client sla ensure activity complies fsa requirement hour monday saturday day week wont include every saturday hour salary range k k depending upon experience plus bonus essential skill experience supervising leading team around plus exposure insurance industry training well established company competitive salary package due high number application receiving present unable response every application individually hear one consultant within day please assume application successful may contact future suitable position job originally posted www totaljobs com jobseeking teammanager job,low
interimlegal assistant accountant month ftc k niche uk law firm based close chancery lane urgently seeking assistant accountant work period month provide daytoday operational support financial controller role report financial controller responsible running office client account supervising assistant month end control running numerous report role suit partqualified accountant experience working legal account department worked wide range finance function firm ideally looking candidate experience using lawsoft programme role spends vast amount time programme strong uptodate knowledge solicitor account rule essential experience supervising junior member staff legal account experience currently studying account qualification cima aca acca apply contact carly challinger quoting reference cc information,low
client leading healthcare organisation provides care support older people people physical disability national network residential care home community service recruiting unit manager ypd unit established home cf area cardiff applicant also able demonstrate supervisory experience also sound practical skill experience enteral feed epilepsy physical disability learning disability good communication administration skill along ability prioritise cope busy varied workload essential need demonstrate empathy towards people disability understanding need first level nurse ideally rnld experience similar role return offer competitive comprehensive package includes management development paid sick leave staff incentive scheme,low
c gameplay programmer surrey well known game company surrey famous high profile game looking c game programmer working next aaa title looking excellent c gameplay programmer good understanding game design ideal candidate excellent coder also strong design skill key requirement excellent c programming skill experience working game industry strong math skill shipped game benefit excellent benefit package including private health life insurance income protection etc base salary bonus scheme excellent working environment,high
need nvq city guild qualification vehicle mechanic proven experience mechanic within main dealership fleet management experience carrying mot repair servicing fleet vehicle including car van ideally mot smart key class current expired knowledge latest diagnostic equipment e blue tooth must also hand tool working various fixed shift follows pm pm pm pm working day week hour per week experience qualification please apply n b successful applicant contacted adecco equal opportunity employment agency adecco acting employment agency relation vacancy job originally posted www totaljobs com jobseeking experiencedmechanic job,low
network support manager financial servicesnetwork support manager required provide network support consultancy business live disaster recovery environment supporting internal external customer local wide remote area network prioritise allocate work stream network team providing customer focused service ensure head network service appraised issue situation arise must able lead manage team take personal ownership accountability network run issue define develop procedure operation network run team must able prioritise team workload manage customer expectation technically indepth knowledge following cisco juniper firewallscisco juniper networksintrusion detection devicesin depth knowledge ip subnettingdnsip registration dns allocationsin depth cisco iosthis role requires flexible individual work weekend provide hour support necessary must able travel site bedfordshire north yorkshire able manage technical individual strong man management skill proven track record supporting large complex network high availability environment,high
aerostructures design technical leader role summary purpose aerostructures design technical leader act technical leader composite metallic design ge aviation system aerostructures business based hamble aerostructures design technical leader called upon act technical expert solving technical issue using technical expertise help design technically sound product aerostructures design technical leader also approve design prepared others mentor help develop le experienced engineer within team essential responsibility act technical authority aerostructures design primarily supporting airbus program also supporting aerostructures program required review approve design required program maintaining appropriate compliance technical spec participate design review customer meeting supplier meeting required mentor guide junior engineer develop innovative solution design problem use expertise facilitate design excellence within aerostructures team qualification requirement bachelor degree mechanical aerospace engineering qualified experience equivalent level significant experience within aerostructures design environment posse design approver authority airbus desired characteristic excellent problem solving skill experience mentoring developing others good communication skill high level inclusiveness ability work well within team,high
busy pastry kitchen team seeking sou chef help lead team producing indulgent range delicate dessert proper pud sweet creation whole hotel largescale conference event inspired minidesserts afternoon tea pastry classic contemporary vacancy represents great opportunity motivated passionate pastry chef make next step reporting head chef snr sou job purpose deputise ensure smooth running aspect operation accountability ensure agreed food standard maintained time ensure agreed quality produce monitored appropriate action taken standard met g target achieved liaise floorstaff department necessary fully understand haccp coshh take appropriate action maintain safe equitable working environment whilst sensitive aware business level order maintain disciplined harmonious department ensure stock level ordering food item kept control minimalise wastage whilst maintaining food gp help recruit monitor train staff ensuring regular ear carried achievable objective assist manning overtime help achieve agreed level keep within budgeted payroll issue monitor maintenance docket thereby ensuring kitchen fabric equipment kept safe clean fully functional condition analysing market food trend make appropriate menu suggestion development within agreed timescales liaise floor staff department necessary ensure guest satisfaction smooth running service absence head chef person specification essential nvq room kitchen,low
sale executive london basic salary k realistic ote client central london looking number sale executive add growing team need show proven track record ability sell winning new business relationship building also key part role ability build rapport quickly essential role win new client within financial construction telecom industry consultant within branch place respective personnel high volume call made every day ensure consistently trying win company exclusively build relationship ensure repeat business could also responsible finding candidate suitable job role given done searching job board achieving referral existing candidate head hunting successful highly rewarding role need show following attribute excellent sale skill proven track record excellent communication written skill professionally presented smart time ability learn drive want develop high attention detail believe could strive heave pressure highly rewarding sale environment apply q consultancy specialist recruitment recruitment consultancy placing level recruitment consultant senior director recruitment candidate placing recruitment consultant headhunter throughout uk internationally job originally posted www totaljobs com jobseeking salesexecutivelondon job,low
temporary business travel consultant local well established company birmingham looking temporary business travel consutlant month start asap wellknown business travel company currently requires business travel consultant work variety account birmingham office role offer lot variety two day ever temporary business travel consultant undertake array task responsibility arranging form business travel handling complex itinerary business travel client booking flight hotel car hire ancillary product working exciting demanding account temporary business travel consultant remuneration package truly superb salary depending experience great benefit regular training development opportunity temporay business travel consultant skill attribute previous experience working within corporate business travel environment experience galileo recognised industry qualification e g fare ticketing exceptional customer service communication skill along excellent attention detail able work well pressure handle demanding account discussion business travel consultant job please contact zoe email cv please note unlawful employ person ukbased job permission live work uk make aware immigration law apply situation applying job latest business travel job log www traveltemps com job originally posted www totaljobs com jobseeking tempbusinesstravelconsultant job,low
client leading provider independent healthcare based central london seeking experienced motivated sister charge nurse paediatric inpatient ward treating full range paediatric medical surgical speciality hospital work elite london experienced consultant healthcare specialist supported stateoftheart equipment centre excellent offer high standard acute critical nursing care within pleasant comfortable surroundings successful applicant enjoy career development support strong management executive team opportunity work alongside expert consultant multi disciplinary team healthcare specialist access dedicated professional personal development program experience within highly professional working environment benefit working company include private medical insurance life assurance cover pension scheme performance bonus scheme online staff discount occupational sick pay scheme childcare voucher heavily discounted gym membership season ticket loan eye sight testing subsidised staff restaurant discounted dry cleaning duty post reporting directly ward manager deputising absence required taking charge department majority shift promote manage delivery high quality nursing care child admitted unit supervise direct mentor staff senior staff nurse healthcare assistant student nurse full job description available upon request person requirement registered paediatric nurse registered nmc requiring period supervised placement least two year experience paediatric senior staff nurse role permission undertake employment uk requiring workpermit sponsorship,low
fresh challenge new exciting opportunity retail shop manager east coast highly competitive salary bonus plus accommodation ote k retained source highly experienced retail shop manager work one largest successful leisure company uk retail shop manager responsibility twelve retail outlet shop including supermarket newsagent gift shop toy confectionary outlet multimillion pound annual turnover staff complement around full part time employee shop high volume tasked making sure shop meet exceed customer expectation playing prominent role fastest moving part business need adept meeting performance target implementing change ensuring motivated team always speed working effectively efficiently tight brand standard busy environment manager need lead front coaching supporting team hit financial target must keen eye detail natural ability merchandise outlet maximise footfall retail opportunity ideal person must proven track record area store manager within superstore department store large supermarket turn million plus overall responsibility budgeting staffing training recruitment rota key success ability deliver manage gps bottom line profit strong profit loss experience essential also need extremely well organised demonstrating excellent stock control system process management able work considerable pressure peak season strong leadership quality communication skill necessity client offering exceptional package plus attractive bonus scheme great career prospect within company due high volume application huge interest role regret candidate meeting criterion contacted,high
leading established tax firm west sussex looking personal tax advisor join expanding team ideal candidate att qualified four year experience personal mixed tax personal tax advisor given opportunity deal wide variety client assisting tax return tax investigation tax reporting successful candidate offered attractive compensation package training including cta qualification supported company well take part dynamic fastpaced company send cv,low
immediate start customer service positive pro active attitude professional manner high customer service standard previous experience sale customer service required provide full client product training however previous retail call centre customer service advertising promotion hospitality marketing sale experience welcome offer currently recruiting two recruitment programme firstly sale customer service programme responsibility include generating new customer base client working within enthusiastic team working towards collective individual target customer service sale acquisition secondly recruiting business development programme unique opportunity individual progress company based purely individual merit result someone self motivated serious career would suitable benefit include client customer service sale full product training fantastic working environment social calendar nationally recognised qualification successful established team travel opportunity per week average earnings fantastic opportunity add marketing sale experience cv apply please send u copy uptodate cv along introduction outlining situation availability applicant must live uk london area able commute london office daily regret unable provide sponsorship noneu citizen,low
ck clinical asked global biotech company help recruit senior associate biostatical programmer join team permanent basis supervision main responsibility write test validate software program support analysis presentation biomedical data ensuring quality accuracy programming deliverable adherence company policy sop controlled document key responsibility senior associate biostatical programmer assist review key studyrelated document produced function e g case report form data management plan nonmem specification write test validate software program unix produce analysis datasets presentation output included report submission regulatory agency publication communication understand execute department product studylevel macro utility write test validate product studylevel macro utility assist study system audit clinical quality assurance cqa external body respond audit question finding provide input participate intradepartmental gbds meeting contribute continuous improvement global biomedical data science gbds programming assist review gbds policy standard operating procedure controlled document provide support mentor junior programmer interface outsourcing partner vendor attend external professional organization conference training meeting senior associate biostatical programmer following basic qualification skill experience required bachelor degree general clinical research development programming experience statistical programming experience sa within drug development setting using sa system version higher senior associate biostatical programmer following preferred qualification skill experience required bachelor master degree computer science statistic mathematics life science relevant scientific subject general clinical research development programming experience drug development pre early late observational related industry academic research sa programming expertise base stat graph macro sql module proven clinical research development programming experience including working cdisc standard sdtm adam ability work effectively within globally dispersed team position knowledge following needed computer programming preferably sa procedural language understanding computer operating system unix preferred fundamental project planning management drug development process operation ck clinical equal opportunity employer welcome application meet selection criterion hear back u within working day application role mean occasion shortlisted next stage recruitment campaign entitlement work eea essential please quote reference cl correspondence,low
regional sale manager location reading job sector general insurance salary job reference sm salary exceptional bonus ben job description result unprecedented growth progressive dynamic insurance broker currently looking recruit regional sale manager lead sale service team south leading highly developed team account executive towards even greater level success within region role responsible leading developing highly successful sale team targeting business across region leading team account executive win retain client typically spend excess premium across sector industry upper limit premium client size team supported full backing market leading broking service team offering best opportunity conversion retention company highly successful progressive broker reputation hiring best people market company track record providing unrivalled level service client become part team commitment rewarded market leading salary bonus scheme plus highly competitive benefit package outstanding opportunity career advancement key skill experience required highly experienced account development executive either looking next step career already track record leading team people sale service environment must able demonstrate ability build strong relationship key decision maker professional qualification required progression towards acii would beneficial essential study would supported needed salary benefit information salary dependent experience market leading flexible attract best candidate market basic salary car generous bonus benefit package bonus scheme superb complimented comprehensive benefit package include pension group life phi free car parking generous holiday allowance footnote application successful contact discus opportunity detail within hour receiving application due overwhelming application response receive various source hear u within one week please assume application unsuccessful job originally posted www totaljobs com jobseeking regionalsalesmanager job,high
